iter	Passed	Remaining
0	143	143768
1	145	72457
2	146	48590
3	147	36643
4	148	29458
5	148	24668
6	149	21273
7	150	18712
8	151	16714
9	152	15107
10	153	13796
11	154	12705
12	155	11781
13	156	11000
14	157	10315
15	158	9719
16	158	9189
17	159	8716
18	160	8293
19	161	7920
20	162	7582
21	163	7269
22	164	6980
23	165	6716
24	166	6474
25	166	6249
26	167	6045
27	168	5854
28	169	5675
29	170	5506
30	171	5350
31	172	5203
32	172	5065
33	173	4942
34	174	4818
35	175	4703
36	176	4594
37	177	4490
38	178	4390
39	179	4297
40	180	4213
41	181	4130
42	181	4049
43	182	3972
44	183	3897
45	184	3825
46	185	3763
47	186	3702
48	187	3641
49	188	3582
50	189	3524
51	190	3467
52	191	3413
53	191	3362
54	192	3311
55	193	3263
56	194	3216
57	195	3170
58	196	3128
59	197	3087
60	198	3048
61	199	3012
62	200	2975
63	200	2938
64	201	2901
65	202	2866
66	203	2833
67	204	2801
68	205	2769
69	206	2738
70	207	2709
71	207	2679
72	208	2650
73	209	2623
74	210	2597
75	211	2571
76	212	2545
77	213	2519
78	214	2495
79	214	2470
80	215	2447
81	216	2427
82	217	2400
83	218	2378
84	218	2356
85	219	2335
86	220	2316
87	221	2298
88	222	2280
89	223	2262
90	224	2244
91	225	2226
92	226	2209
93	227	2192
94	228	2176
95	229	2162
96	230	2146
97	231	2132
98	232	2117
99	233	2102
100	234	2087
101	235	2073
102	236	2059
103	237	2045
104	238	2032
105	239	2018
106	240	2005
107	241	1993
108	242	1981
109	243	1970
110	244	1958
111	245	1946
112	246	1935
113	247	1924
114	248	1913
115	249	1903
116	250	1890
117	251	1881
118	252	1870
119	253	1860
120	254	1850
121	255	1839
122	256	1829
123	257	1819
124	258	1809
125	259	1800
126	260	1790
127	261	1781
128	262	1773
129	263	1763
130	264	1755
131	265	1747
132	266	1739
133	267	1731
134	268	1722
135	269	1714
136	270	1706
137	272	1699
138	273	1693
139	274	1685
140	275	1677
141	275	1666
142	276	1658
143	277	1650
144	278	1643
145	279	1635
146	280	1627
147	281	1620
148	282	1613
149	283	1606
150	284	1600
151	285	1593
152	286	1587
153	287	1579
154	288	1571
155	289	1564
156	289	1556
157	290	1550
158	292	1545
159	293	1543
160	294	1535
161	296	1531
162	296	1525
163	297	1518
164	298	1511
165	299	1504
166	300	1498
167	301	1491
168	301	1484
169	302	1479
170	304	1473
171	304	1467
172	305	1461
173	306	1454
174	307	1448
175	308	1443
176	309	1437
177	310	1431
178	311	1426
179	312	1421
180	312	1416
181	313	1410
182	314	1404
183	315	1400
184	316	1394
185	317	1389
186	318	1383
187	319	1378
188	319	1372
189	320	1367
190	321	1362
191	322	1358
192	323	1352
193	324	1347
194	325	1342
195	325	1336
196	326	1332
197	327	1327
198	328	1323
199	329	1318
200	330	1313
201	331	1308
202	332	1304
203	333	1300
204	334	1296
205	335	1291
206	335	1286
207	336	1282
208	337	1277
209	338	1272
210	339	1268
211	340	1263
212	340	1259
213	341	1254
214	342	1250
215	343	1245
216	343	1241
217	344	1236
218	345	1231
219	346	1228
220	347	1224
221	348	1219
222	348	1215
223	349	1211
224	350	1207
225	351	1202
226	352	1198
227	352	1194
228	353	1191
229	354	1187
230	355	1183
231	356	1179
232	357	1175
233	357	1171
234	358	1168
235	359	1164
236	360	1160
237	361	1157
238	362	1153
239	363	1149
240	363	1146
241	364	1142
242	365	1139
243	366	1136
244	367	1132
245	368	1129
246	369	1125
247	370	1121
248	370	1118
249	372	1116
250	373	1113
251	373	1110
252	374	1107
253	375	1103
254	376	1100
255	377	1098
256	378	1095
257	379	1092
258	380	1089
259	381	1086
260	382	1082
261	383	1080
262	384	1077
263	385	1074
264	386	1071
265	387	1068
266	388	1065
267	388	1062
268	389	1059
269	390	1056
270	391	1054
271	392	1051
272	393	1048
273	394	1045
274	395	1042
275	396	1040
276	397	1037
277	398	1034
278	399	1031
279	400	1028
280	400	1025
281	401	1022
282	402	1020
283	403	1017
284	404	1014
285	405	1011
286	405	1008
287	406	1005
288	407	1002
289	408	999
290	409	996
291	410	994
292	410	991
293	411	988
294	412	985
295	413	982
296	414	980
297	415	978
298	415	975
299	416	972
300	417	969
301	418	966
302	419	964
303	419	961
304	420	958
305	421	956
306	422	953
307	423	950
308	423	948
309	424	945
310	425	942
311	426	939
312	427	937
313	428	935
314	428	932
315	429	930
316	430	927
317	431	925
318	432	922
319	432	919
320	433	917
321	434	915
322	435	913
323	436	910
324	437	908
325	438	905
326	438	903
327	439	901
328	440	899
329	441	896
330	442	894
331	443	891
332	444	889
333	444	887
334	445	884
335	446	882
336	447	880
337	448	877
338	449	875
339	449	873
340	450	870
341	451	868
342	452	866
343	453	863
344	453	861
345	454	859
346	455	857
347	456	854
348	457	852
349	457	850
350	458	848
351	459	846
352	460	844
353	461	842
354	462	840
355	463	838
356	464	836
357	465	834
358	466	832
359	466	829
360	467	827
361	468	825
362	469	823
363	469	821
364	470	819
365	471	817
366	472	815
367	473	813
368	474	810
369	475	808
370	475	806
371	476	804
372	477	802
373	478	800
374	479	798
375	479	796
376	480	794
377	481	792
378	482	790
379	482	787
380	483	786
381	484	784
382	485	782
383	486	780
384	487	778
385	488	776
386	489	774
387	490	773
388	491	771
389	491	769
390	492	767
391	493	765
392	494	763
393	495	761
394	495	759
395	497	758
396	497	756
397	498	754
398	499	752
399	500	751
400	501	749
401	502	747
402	503	746
403	504	744
404	505	742
405	506	740
406	507	739
407	508	737
408	509	735
409	509	733
410	510	731
411	511	730
412	512	728
413	513	726
414	514	725
415	515	723
416	516	721
417	517	720
418	518	718
419	519	716
420	519	715
421	520	713
422	521	711
423	522	710
424	523	708
425	524	707
426	525	705
427	526	703
428	527	701
429	528	700
430	529	698
431	530	696
432	531	695
433	531	693
434	532	691
435	533	690
436	534	689
437	535	687
438	536	686
439	537	684
440	538	682
441	539	681
442	540	679
443	541	678
444	542	676
445	543	675
446	544	673
447	545	672
448	546	670
449	547	669
450	548	667
451	549	665
452	550	664
453	551	662
454	551	661
455	552	659
456	553	658
457	554	656
458	555	655
459	556	653
460	557	651
461	558	650
462	559	648
463	560	647
464	561	645
465	562	644
466	563	642
467	563	641
468	564	639
469	565	637
470	566	636
471	567	634
472	568	633
473	569	631
474	569	629
475	570	628
476	571	626
477	572	625
478	573	623
479	574	622
480	575	620
481	575	618
482	576	617
483	577	615
484	578	614
485	579	612
486	580	611
487	581	609
488	582	608
489	582	606
490	583	605
491	584	603
492	585	602
493	586	601
494	587	599
495	588	597
496	589	596
497	590	594
498	591	593
499	591	591
500	592	590
501	593	589
502	594	587
503	595	586
504	596	584
505	597	583
506	598	581
507	599	580
508	600	578
509	600	577
510	601	575
511	602	574
512	603	573
513	604	571
514	605	570
515	606	568
516	607	567
517	608	565
518	608	564
519	609	563
520	610	561
521	611	560
522	612	558
523	613	557
524	614	555
525	615	554
526	616	553
527	617	551
528	618	550
529	618	548
530	619	547
531	620	545
532	621	544
533	622	543
534	623	541
535	624	540
536	625	539
537	626	537
538	626	536
539	627	534
540	628	533
541	629	531
542	630	530
543	631	529
544	632	527
545	632	526
546	633	524
547	634	523
548	635	521
549	636	520
550	636	519
551	637	517
552	638	516
553	639	514
554	640	513
555	641	512
556	642	510
557	642	509
558	643	507
559	644	506
560	645	504
561	646	503
562	646	502
563	647	500
564	648	499
565	649	498
566	650	496
567	651	495
568	652	494
569	653	492
570	654	491
571	655	490
572	655	488
573	656	487
574	657	485
575	658	484
576	659	483
577	660	481
578	660	480
579	661	479
580	662	477
581	663	476
582	664	475
583	665	474
584	666	472
585	667	471
586	668	470
587	668	468
588	669	467
589	670	465
590	671	464
591	672	463
592	672	461
593	673	460
594	674	459
595	675	457
596	675	456
597	676	454
598	677	453
599	678	452
600	679	450
601	680	449
602	680	448
603	681	446
604	682	445
605	683	444
606	684	442
607	684	441
608	685	440
609	686	438
610	687	437
611	688	436
612	688	434
613	689	433
614	690	432
615	691	431
616	692	429
617	693	428
618	694	427
619	694	425
620	695	424
621	696	423
622	697	422
623	698	420
624	699	419
625	700	418
626	700	416
627	701	415
628	702	414
629	703	413
630	704	411
631	704	410
632	705	409
633	706	407
634	707	406
635	708	405
636	709	404
637	710	402
638	710	401
639	711	400
640	712	399
641	713	397
642	714	396
643	714	395
644	715	394
645	716	392
646	717	391
647	718	390
648	719	388
649	719	387
650	720	386
651	721	385
652	722	383
653	723	382
654	724	381
655	725	380
656	725	378
657	726	377
658	727	376
659	728	375
660	729	374
661	730	372
662	731	371
663	732	370
664	733	369
665	734	368
666	735	367
667	736	366
668	737	364
669	738	363
670	739	362
671	740	361
672	741	360
673	742	359
674	743	357
675	744	356
676	745	355
677	746	354
678	747	353
679	748	352
680	748	350
681	749	349
682	750	348
683	751	347
684	752	345
685	753	344
686	754	343
687	754	342
688	755	341
689	756	339
690	757	338
691	758	337
692	759	336
693	760	335
694	761	334
695	762	332
696	762	331
697	763	330
698	764	329
699	765	327
700	766	326
701	767	325
702	768	324
703	768	323
704	769	322
705	770	320
706	771	319
707	772	318
708	773	317
709	773	316
710	774	314
711	775	313
712	776	312
713	777	311
714	777	310
715	778	308
716	779	307
717	780	306
718	781	305
719	781	304
720	782	302
721	783	301
722	784	300
723	785	299
724	786	298
725	787	297
726	787	295
727	788	294
728	789	293
729	790	292
730	791	291
731	791	289
732	792	288
733	793	287
734	794	286
735	794	285
736	795	283
737	796	282
738	797	281
739	798	280
740	799	279
741	799	278
742	800	276
743	801	275
744	802	274
745	803	273
746	803	272
747	804	271
